case_id,operator_id,experience_level,timestamp,phase,phase_key,ui_element,screen,action,dwell_time_s,phase_duration_s
PROC_0001,OP_001,expert,2024-01-15 10:59:49.576715828,Phase A,A,PatientDemographics.Load,PatientDemographics,Load,1.8,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:05.874330963,Phase A,A,PatientDemographics.Load,PatientDemographics,Load,2.33,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:11.676195897,Phase A,A,PatientDemographics.Load,PatientDemographics,Load,7.4,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:11.892686649,Phase A,A,CatheterConfig.Confirm,CatheterConfig,Confirm,0.9,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:15.858438067,Phase A,A,PatientDemographics.Load,PatientDemographics,Load,1.44,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:26.671037432,Phase A,A,PatientDemographics.Load,PatientDemographics,Load,0.3,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:26.796516215,Phase A,A,CatheterConfig.SelectType,CatheterConfig,SelectType,2.7,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:28.454602067,Phase A,A,PatientDemographics.Confirm,PatientDemographics,Confirm,1.97,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:36.968660880,Phase A,A,PatientDemographics.Load,PatientDemographics,Load,3.71,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:45.957434296,Phase A,A,CatheterConfig.SelectType,CatheterConfig,SelectType,2.27,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:49.263981258,Phase A,A,CatheterConfig.SelectType,CatheterConfig,SelectType,0.54,137.1
PROC_0001,OP_001,expert,2024-01-15 11:00:58.678086466,Phase A,A,PatientDemographics.Load,PatientDemographics,Load,1.22,137.1
PROC_0001,OP_001,expert,2024-01-15 11:01:10.615452534,Phase A,A,PatientDemographics.Confirm,PatientDemographics,Confirm,1.1,137.1
PROC_0001,OP_001,expert,2024-01-15 11:01:23.803239260,Phase A,A,PatientDemographics.Confirm,PatientDemographics,Confirm,0.38,137.1
PROC_0001,OP_001,expert,2024-01-15 11:01:34.370962476,Phase A,A,PatientDemographics.Confirm,PatientDemographics,Confirm,10.79,137.1
PROC_0001,OP_001,expert,2024-01-15 11:01:40.849292765,Phase A,A,SystemCheck.RunDiagnostics,SystemCheck,RunDiagnostics,0.3,137.1
PROC_0001,OP_001,expert,2024-01-15 11:01:59.690430122,Phase A,A,SystemCheck.Confirm,SystemCheck,Confirm,3.25,137.1
PROC_0001,OP_001,expert,2024-01-15 11:02:37.331295952,Phase B,B,ImagingPanel.Zoom,ImagingPanel,Zoom,0.64,363.3
PROC_0001,OP_001,expert,2024-01-15 11:02:39.514799715,Phase B,B,ImagingPanel.Contrast,ImagingPanel,Contrast,4.91,363.3
PROC_0001,OP_001,expert,2024-01-15 11:02:51.187589033,Phase B,B,ImagingPanel.Zoom,ImagingPanel,Zoom,1.34,363.3
PROC_0001,OP_001,expert,2024-01-15 11:02:56.063751822,Phase B,B,ImagingPanel.Pan,ImagingPanel,Pan,1.03,363.3
PROC_0001,OP_001,expert,2024-01-15 11:03:07.294159828,Phase B,B,SegmentationTool.Draw,SegmentationTool,Draw,1.82,363.3
PROC_0001,OP_001,expert,2024-01-15 11:03:10.192499233,Phase B,B,AnatomyMap.MarkPoint,AnatomyMap,MarkPoint,8.88,363.3
PROC_0001,OP_001,expert,2024-01-15 11:03:11.545890045,Phase B,B,SegmentationTool.Draw,SegmentationTool,Draw,1.71,363.3
PROC_0001,OP_001,expert,2024-01-15 11:03:26.669335962,Phase B,B,ImagingPanel.Rotate,ImagingPanel,Rotate,0.3,363.3
PROC_0001,OP_001,expert,2024-01-15 11:03:35.878752840,Phase B,B,ImagingPanel.ToggleOverlay,ImagingPanel,ToggleOverlay,0.3,363.3
PROC_0001,OP_001,expert,2024-01-15 11:03:51.220570713,Phase B,B,ImagingPanel.Pan,ImagingPanel,Pan,0.68,363.3
PROC_0001,OP_001,expert,2024-01-15 11:03:58.666232320,Phase B,B,ImagingPanel.Zoom,ImagingPanel,Zoom,10.56,363.3
PROC_0001,OP_001,expert,2024-01-15 11:04:13.365400532,Phase B,B,ImagingPanel.Pan,ImagingPanel,Pan,3.57,363.3
