from,to,phase_from,phase_to
PatientDemographics.Load,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,CatheterConfig.Confirm,Phase A,Phase A
CatheterConfig.Confirm,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,ImagingPanel.Zoom,Phase A,Phase B
ImagingPanel.Zoom,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,SegmentationTool.Draw,Phase B,Phase B
